measure,metric,user_id,value
unexpectedness,base,19878024,0.22273822494431905
unexpectedness,base,16817910,0.23822571604401022
unexpectedness,base,32939895,0.23116881673918477
unexpectedness,base,47780976,0.223610296764412
unexpectedness,base,49628822,0.18522807715631562
unexpectedness,base,40258923,0.270588242777372
unexpectedness,base,4137262,0.26348696646004627
unexpectedness,base,7986456,0.17919682856635916
unexpectedness,base,24928115,0.2526352778111862
unexpectedness,base,42899781,0.24679626067645458
unexpectedness,base,49457410,0.1699349592049719
unexpectedness,base,30994908,0.20030518944897485
unexpectedness,base,7584008,0.22520427084251865
unexpectedness,base,49574441,0.19430892366799785
unexpectedness,base,24866626,0.1945110947418677
unexpectedness,base,47862618,0.22274815648905835
unexpectedness,base,11433462,0.20679105440691742
unexpectedness,base,30051358,0.2723774405796339
unexpectedness,base,21923447,0.2225568975471698
unexpectedness,base,6395291,0.21097098809388878
unexpectedness,base,49533056,0.27708961674828153
unexpectedness,base,11771671,0.19036896085694224
unexpectedness,base,30146431,0.29347845152033886
unexpectedness,base,14913726,0.3069890816660556
unexpectedness,base,11139379,0.1817625716367222
unexpectedness,base,47830437,0.22429670672429383
unexpectedness,base,35882355,0.23585711297840364
unexpectedness,base,40953274,0.18748952387894735
unexpectedness,base,46749968,0.26428562368988345
unexpectedness,base,4835275,0.29227617226585273
unexpectedness,base,18855839,0.2614249773614209
unexpectedness,base,47582204,0.24198089151510352
unexpectedness,base,42102510,0.22385880184207246
unexpectedness,base,19185044,0.30268822745512847
unexpectedness,base,15668819,0.26283231049640093
unexpectedness,base,26172318,0.3033354763879493
unexpectedness,base,8962072,0.24083585059004722
unexpectedness,base,3021999,0.26491811079469585
unexpectedness,base,3757573,0.2833289280508454
unexpectedness,base,42505609,0.23688664599774997
unexpectedness,base,11034062,0.21427503950965374
unexpectedness,base,48433319,0.25074160898852643
unexpectedness,base,49042888,0.23210101156802346
unexpectedness,base,38395587,0.2994709093939051
unexpectedness,base,22152052,0.24725321939500744
unexpectedness,base,21996481,0.2040031050043807
unexpectedness,base,13359210,0.22651273390372006
unexpectedness,base,5807418,0.2539101615091532
unexpectedness,base,48789012,0.20564162717693532
unexpectedness,base,47789924,0.23304156560796327
unexpectedness,base,5659917,0.2055313084982958
unexpectedness,base,11328565,0.2628175195306273
unexpectedness,base,5574559,0.2502097594972863
unexpectedness,base,31907962,0.2407622739244996
unexpectedness,base,47360583,0.17782981677884924
unexpectedness,base,50056245,0.296803773705764
unexpectedness,base,17274551,0.17115099789751265
unexpectedness,base,45447547,0.20393254731465388
unexpectedness,base,46840375,0.24475786245797132
unexpectedness,base,16723888,0.2541491255573039
unexpectedness,base,49386123,0.1977195035610131
unexpectedness,base,29328924,0.19600808174420659
unexpectedness,base,49172222,0.24033578401583316
unexpectedness,base,19991596,0.19077667426970193
unexpectedness,base,7271928,0.23946319330347374
unexpectedness,base,49437200,0.2658621965963921
unexpectedness,base,10100719,0.2648091384697206
unexpectedness,base,47601359,0.27404002825216506
unexpectedness,base,34032171,0.21014619241927418
unexpectedness,base,12682937,0.2850351029268214
